id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt
1,5000,5000,36 months,10.65%,162.87,B,B2,10+ years,RENT,24000,Fully Paid,credit_card,27.65,0,Jan-85,3,0,13648,83.7,9,0,5863.16,5000,863.16,171.62
2,2500,2500,60 months,15.27%,59.83,C,C4,< 1 year,RENT,30000,Charged Off,car,1.0,0,Apr-99,3,0,1687,9.4,4,0,1014.53,456.46,435.84,78.69
3,10000,10000,36 months,13.49%,339.31,C,C1,10+ years,RENT,100000,Fully Paid,other,16.1,0,Mar-01,6,0,5598,21.9,13,0,12226.30,10000,2226.30,500.00
4,7000,7000,60 months,14.65%,165.33,C,C3,8 years,MORTGAGE,40000,Fully Paid,debt_consolidation,14.97,0,Jun-96,10,0,5341,23.2,22,0,9587.80,7000,2587.80,400.00
5,3000,3000,36 months,12.69%,100.41,B,B5,3 years,RENT,42000,Charged Off,small_business,10.78,0,Aug-05,7,0,2759,51.5,16,0,1400.00,600.00,550.00,100.00
6,15000,15000,36 months,7.90%,469.53,A,A4,5 years,MORTGAGE,80000,Fully Paid,debt_consolidation,11.2,0,Jan-98,14,0,9800,15.6,28,0,16200.00,15000,1200.00,600.00
7,8000,8000,60 months,16.77%,198.66,D,D2,2 years,RENT,35000,Charged Off,other,22.5,1,Mar-03,8,0,7200,67.3,18,0,2100.00,900.00,800.00,150.00
8,20000,20000,60 months,11.99%,444.93,B,B3,7 years,MORTGAGE,95000,Fully Paid,debt_consolidation,8.9,0,Sep-94,12,0,15200,18.4,32,0,22500.00,20000,2500.00,800.00
9,4000,4000,36 months,18.64%,145.45,E,E1,1 year,RENT,28000,Charged Off,credit_card,33.4,2,Nov-07,5,0,3200,78.9,8,0,1200.00,500.00,450.00,80.00
10,12000,12000,36 months,9.17%,382.17,A,A5,10+ years,OWN,65000,Fully Paid,home_improvement,6.5,0,Feb-92,18,0,4500,12.1,40,0,13100.00,12000,1100.00,500.00
